"created_at","entity_type","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-05-05T21:56:51.395Z","Domain-Name","TLP:CLEAR","073.obx3.cfd","2024-05-05T21:56:51.423Z","073.obx3.cfd","Phishingarmy URL",""
"2024-05-05T21:57:27.291Z","Domain-Name","TLP:CLEAR","1en.xe1v.lat","2024-05-05T21:57:27.310Z","1en.xe1v.lat","Phishingarmy URL",""
"2024-05-05T21:57:27.310Z","Domain-Name","TLP:CLEAR","1eq.xe1v.lat","2024-05-05T21:57:27.330Z","1eq.xe1v.lat","Phishingarmy URL",""
"2024-05-05T21:58:00.992Z","Domain-Name","TLP:CLEAR","34j.xe1v.lat","2024-05-05T21:58:02.972Z","34j.xe1v.lat","Phishingarmy URL",""
"2024-05-05T21:58:26.050Z","Domain-Name","TLP:CLEAR","4lm.xe1v.lat","2024-05-05T21:58:26.079Z","4lm.xe1v.lat","Phishingarmy URL",""
"2024-05-05T21:58:38.592Z","Domain-Name","TLP:CLEAR","5be.xe1v.lat","2024-05-05T21:58:38.622Z","5be.xe1v.lat","Phishingarmy URL",""
"2024-05-05T21:59:04.951Z","Domain-Name","TLP:CLEAR","7ep.xe1v.lat","2024-05-05T21:59:04.976Z","7ep.xe1v.lat","Phishingarmy URL",""
"2024-05-05T21:59:06.936Z","Domain-Name","TLP:CLEAR","7ro.obx3.cfd","2024-05-05T21:59:06.961Z","7ro.obx3.cfd","Phishingarmy URL",""
"2024-05-05T21:59:54.876Z","Domain-Name","TLP:CLEAR","accounthelp-confirmation.free.nf","2024-05-05T21:59:54.894Z","accounthelp-confirmation.free.nf","Phishingarmy URL",""
"2024-05-05T22:00:09.748Z","Domain-Name","TLP:CLEAR","ads-manage-recovery8862244585.miracle-chain.com","2024-05-05T22:00:09.775Z","ads-manage-recovery8862244585.miracle-chain.com","Phishingarmy URL",""
"2024-05-05T22:00:57.053Z","Domain-Name","TLP:CLEAR","allegr0lokalnie.13826323.xyz","2024-05-05T22:00:57.076Z","allegr0lokalnie.13826323.xyz","Phishingarmy URL",""
"2024-05-05T22:03:01.919Z","Domain-Name","TLP:CLEAR","assurances-your.com","2024-05-05T22:03:02.862Z","assurances-your.com","Phishingarmy URL",""
"2024-05-05T22:05:59.288Z","Domain-Name","TLP:CLEAR","binancle-us.com","2024-05-05T22:06:00.569Z","binancle-us.com","Phishingarmy URL",""
"2024-05-05T22:07:36.317Z","Domain-Name","TLP:CLEAR","bot-secured.online","2024-05-05T22:07:36.339Z","bot-secured.online","Phishingarmy URL",""
"2024-05-05T22:09:56.962Z","Domain-Name","TLP:CLEAR","ca9.xe1v.lat","2024-05-05T22:09:56.981Z","ca9.xe1v.lat","Phishingarmy URL",""
"2024-05-05T22:10:17.786Z","Domain-Name","TLP:CLEAR","captchaldentiflerapp.org","2024-05-05T22:10:17.806Z","captchaldentiflerapp.org","Phishingarmy URL",""
