"created_at","entity_type","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-05-07T05:26:41.926Z","Domain-Name","TLP:CLEAR","walletconnect.adekunleajasinuniversity.com","2024-05-07T05:26:43.322Z","walletconnect.adekunleajasinuniversity.com","Phishingarmy URL",""
"2024-05-07T05:28:03.555Z","Domain-Name","TLP:CLEAR","wpqldmke.nesipay.xyz","2024-05-07T05:28:03.583Z","wpqldmke.nesipay.xyz","Phishingarmy URL",""
"2024-05-07T05:28:13.929Z","Domain-Name","TLP:CLEAR","ww.1.haiwaiym13.top","2024-05-07T05:28:13.949Z","ww.1.haiwaiym13.top","Phishingarmy URL",""
"2024-05-07T05:31:16.218Z","Domain-Name","TLP:CLEAR","www.dosyanizvarmi.com","2024-05-07T05:31:16.249Z","www.dosyanizvarmi.com","Phishingarmy URL",""
"2024-05-07T05:33:00.989Z","Domain-Name","TLP:CLEAR","www.haji.specialpvbgm.my.id","2024-05-07T05:33:01.019Z","www.haji.specialpvbgm.my.id","Phishingarmy URL",""
"2024-05-07T05:40:12.360Z","Domain-Name","TLP:CLEAR","www.slvacanze.com","2024-05-07T05:40:12.384Z","www.slvacanze.com","Phishingarmy URL",""
"2024-05-07T05:40:57.742Z","Domain-Name","TLP:CLEAR","www.tg-myroom.my.id","2024-05-07T05:40:57.758Z","www.tg-myroom.my.id","Phishingarmy URL",""
"2024-05-07T05:43:17.559Z","Domain-Name","TLP:CLEAR","wzi.xe1v.lat","2024-05-07T05:43:17.577Z","wzi.xe1v.lat","Phishingarmy URL",""
"2024-05-07T05:43:24.120Z","Domain-Name","TLP:CLEAR","xgfplqjkv.medopay.xyz","2024-05-07T05:43:24.140Z","xgfplqjkv.medopay.xyz","Phishingarmy URL",""
"2024-05-07T05:43:30.612Z","Domain-Name","TLP:CLEAR","xqko.app-2024.com","2024-05-07T05:43:30.628Z","xqko.app-2024.com","Phishingarmy URL",""
"2024-05-07T05:43:35.037Z","Domain-Name","TLP:CLEAR","y17d.kellyhuddleston.com","2024-05-07T05:43:35.060Z","y17d.kellyhuddleston.com","Phishingarmy URL",""
"2024-05-07T05:43:54.695Z","Domain-Name","TLP:CLEAR","zaba.surveyrewardsnow.com","2024-05-07T05:43:54.717Z","zaba.surveyrewardsnow.com","Phishingarmy URL",""
