"created_at","entity_type","objectLabel","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-10-30T13:05:06.212Z","Domain-Name","phishing","TLP:CLEAR","31glkoe39ood.octobsubred.click","2024-10-30T13:05:06.398Z","31glkoe39ood.octobsubred.click","Phishingarmy URL",""
"2024-10-30T13:05:06.212Z","Domain-Name","phishing","TLP:CLEAR","390guest.com","2024-10-30T13:05:06.368Z","390guest.com","Phishingarmy URL",""
"2024-10-30T13:05:07.030Z","Domain-Name","phishing","TLP:CLEAR","3dworkgroups.com","2024-10-30T13:05:07.051Z","3dworkgroups.com","Phishingarmy URL",""
"2024-10-30T13:05:07.911Z","Domain-Name","phishing","TLP:CLEAR","4-72postcl.buzz","2024-10-30T13:05:07.959Z","4-72postcl.buzz","Phishingarmy URL",""
"2024-10-30T13:05:08.702Z","Domain-Name","phishing","TLP:CLEAR","4-72postcl.help","2024-10-30T13:05:08.729Z","4-72postcl.help","Phishingarmy URL",""
"2024-10-30T13:05:08.716Z","Domain-Name","phishing","TLP:CLEAR","4-72postcl.cfd","2024-10-30T13:05:08.743Z","4-72postcl.cfd","Phishingarmy URL",""
"2024-10-30T13:05:08.731Z","Domain-Name","phishing","TLP:CLEAR","4-72postcl.sbs","2024-10-30T13:05:08.793Z","4-72postcl.sbs","Phishingarmy URL",""
"2024-10-30T13:05:09.625Z","Domain-Name","phishing","TLP:CLEAR","88wanwinpro.com","2024-10-30T13:05:09.723Z","88wanwinpro.com","Phishingarmy URL",""
"2024-10-30T13:05:09.627Z","Domain-Name","phishing","TLP:CLEAR","a.bbuaa.top","2024-10-30T13:05:09.754Z","a.bbuaa.top","Phishingarmy URL",""
"2024-10-30T13:05:10.110Z","Domain-Name","phishing","TLP:CLEAR","a.myjtsca.top","2024-10-30T13:05:10.493Z","a.myjtsca.top","Phishingarmy URL",""
"2024-10-30T13:05:11.370Z","Domain-Name","phishing","TLP:CLEAR","abcdowntownmiamimovers.com","2024-10-30T13:05:11.438Z","abcdowntownmiamimovers.com","Phishingarmy URL",""
"2024-10-30T13:05:11.370Z","Domain-Name","phishing","TLP:CLEAR","abdas.top","2024-10-30T13:05:11.438Z","abdas.top","Phishingarmy URL",""
"2024-10-30T13:05:11.383Z","Domain-Name","phishing","TLP:CLEAR","aboutmaila.top","2024-10-30T13:05:11.438Z","aboutmaila.top","Phishingarmy URL",""
"2024-10-30T13:05:12.467Z","Domain-Name","phishing","TLP:CLEAR","aboutmaile.top","2024-10-30T13:05:12.630Z","aboutmaile.top","Phishingarmy URL",""
"2024-10-30T13:05:12.847Z","Domain-Name","phishing","TLP:CLEAR","aboutmailo.top","2024-10-30T13:05:12.890Z","aboutmailo.top","Phishingarmy URL",""
"2024-10-30T13:05:12.872Z","Domain-Name","phishing","TLP:CLEAR","aboutmaili.top","2024-10-30T13:05:12.973Z","aboutmaili.top","Phishingarmy URL",""
"2024-10-30T13:05:13.724Z","Domain-Name","phishing","TLP:CLEAR","aboutmailr.top","2024-10-30T13:05:13.808Z","aboutmailr.top","Phishingarmy URL",""
"2024-10-30T13:05:13.737Z","Domain-Name","phishing","TLP:CLEAR","aboutmailu.top","2024-10-30T13:05:13.808Z","aboutmailu.top","Phishingarmy URL",""
"2024-10-30T13:05:14.513Z","Domain-Name","phishing","TLP:CLEAR","aboutmailx.top","2024-10-30T13:05:14.543Z","aboutmailx.top","Phishingarmy URL",""
"2024-10-30T13:05:15.263Z","Domain-Name","phishing","TLP:CLEAR","adminuser.acsmaltd.com","2024-10-30T13:05:15.372Z","adminuser.acsmaltd.com","Phishingarmy URL",""
"2024-10-30T13:05:15.288Z","Domain-Name","phishing","TLP:CLEAR","afiycf.top","2024-10-30T13:05:15.373Z","afiycf.top","Phishingarmy URL",""
"2024-10-30T13:05:15.311Z","Domain-Name","phishing","TLP:CLEAR","accdata.online","2024-10-30T13:05:15.373Z","accdata.online","Phishingarmy URL",""
"2024-10-30T13:05:16.991Z","Domain-Name","phishing","TLP:CLEAR","aisthilanda.top","2024-10-30T13:05:17.026Z","aisthilanda.top","Phishingarmy URL",""
"2024-10-30T13:05:17.003Z","Domain-Name","phishing","TLP:CLEAR","ahjs.top","2024-10-30T13:05:17.038Z","ahjs.top","Phishingarmy URL",""
"2024-10-30T13:05:17.024Z","Domain-Name","phishing","TLP:CLEAR","alcostomercadovirtual.com","2024-10-30T13:05:17.091Z","alcostomercadovirtual.com","Phishingarmy URL",""
"2024-10-30T13:05:17.939Z","Domain-Name","phishing","TLP:CLEAR","alexvisman.com","2024-10-30T13:05:18.003Z","alexvisman.com","Phishingarmy URL",""
"2024-10-30T13:05:17.948Z","Domain-Name","phishing","TLP:CLEAR","alebilet.ukryta-oferta.pl","2024-10-30T13:05:18.027Z","alebilet.ukryta-oferta.pl","Phishingarmy URL",""
"2024-10-30T13:05:17.955Z","Domain-Name","phishing","TLP:CLEAR","aljitu1.com","2024-10-30T13:05:18.015Z","aljitu1.com","Phishingarmy URL",""
"2024-10-30T13:05:19.211Z","Domain-Name","phishing","TLP:CLEAR","allegrolokalnie.pl-oferta4521624.cfd","2024-10-30T13:05:19.380Z","allegrolokalnie.pl-oferta4521624.cfd","Phishingarmy URL",""
"2024-10-30T13:05:19.561Z","Domain-Name","phishing","TLP:CLEAR","altogelsatu.com","2024-10-30T13:05:19.656Z","altogelsatu.com","Phishingarmy URL",""
"2024-10-30T13:05:19.575Z","Domain-Name","phishing","TLP:CLEAR","amanahinstitute.com","2024-10-30T13:05:19.669Z","amanahinstitute.com","Phishingarmy URL",""
"2024-10-30T13:05:20.583Z","Domain-Name","phishing","TLP:CLEAR","amendesa.top","2024-10-30T13:05:20.652Z","amendesa.top","Phishingarmy URL",""
"2024-10-30T13:05:21.305Z","Domain-Name","phishing","TLP:CLEAR","amendess.top","2024-10-30T13:05:21.338Z","amendess.top","Phishingarmy URL",""
"2024-10-30T13:05:21.306Z","Domain-Name","phishing","TLP:CLEAR","amtotam.com","2024-10-30T13:05:21.405Z","amtotam.com","Phishingarmy URL",""
"2024-10-30T13:05:21.727Z","Domain-Name","phishing","TLP:CLEAR","andesexplorerperu.com","2024-10-30T13:05:21.976Z","andesexplorerperu.com","Phishingarmy URL",""
"2024-10-30T13:05:22.538Z","Domain-Name","phishing","TLP:CLEAR","anpostsae.top","2024-10-30T13:05:22.752Z","anpostsae.top","Phishingarmy URL",""
"2024-10-30T13:05:22.951Z","Domain-Name","phishing","TLP:CLEAR","aswed.top","2024-10-30T13:05:22.988Z","aswed.top","Phishingarmy URL",""
"2024-10-30T13:05:22.972Z","Domain-Name","phishing","TLP:CLEAR","assurancemaladie-renouv.info","2024-10-30T13:05:23.036Z","assurancemaladie-renouv.info","Phishingarmy URL",""
