"created_at","entity_type","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-05-06T00:00:55.864Z","Url","TLP:CLEAR","http://nwgruppronhub.nwgrup.my.id/","2024-05-06T06:07:28.051Z","http://nwgruppronhub.nwgrup.my.id/","OpenPhish URL",""
"2024-05-06T00:00:55.887Z","Url","TLP:CLEAR","http://altwayiba.com/app/secure/login.php","2024-05-06T06:07:28.040Z","http://altwayiba.com/app/secure/login.php","OpenPhish URL",""
"2024-05-06T00:00:56.049Z","Url","TLP:CLEAR","http://srv69476.seohost.com.pl/public/lMuzfk3McbCVqW2fICcnDUO79dQDbtv4","2024-05-06T06:07:28.041Z","http://srv69476.seohost.com.pl/public/lMuzfk3McbCVqW2fICcnDUO79dQDbtv4","OpenPhish URL",""
"2024-05-06T00:00:56.364Z","Url","TLP:CLEAR","http://srv69476.seohost.com.pl/public/4qh1XWB2zeCfWsLDVBoDijV96EwPrxVG","2024-05-06T06:07:28.038Z","http://srv69476.seohost.com.pl/public/4qh1XWB2zeCfWsLDVBoDijV96EwPrxVG","OpenPhish URL",""
"2024-05-06T00:00:56.462Z","Url","TLP:CLEAR","http://srv69476.seohost.com.pl/public/OX3FLcfYT5VEEms9qTL28kPslAKmji6k","2024-05-06T06:07:28.033Z","http://srv69476.seohost.com.pl/public/OX3FLcfYT5VEEms9qTL28kPslAKmji6k","OpenPhish URL",""
"2024-05-06T00:00:56.549Z","Url","TLP:CLEAR","https://34142.kellyhuddleston.com/","2024-05-06T06:07:28.040Z","https://34142.kellyhuddleston.com/","OpenPhish URL",""
"2024-05-06T00:00:56.816Z","Url","TLP:CLEAR","https://hotvideoustiktok2021.blogspot.sn/","2024-05-06T06:07:28.030Z","https://hotvideoustiktok2021.blogspot.sn/","OpenPhish URL",""
"2024-05-06T00:00:57.008Z","Url","TLP:CLEAR","https://hotvideoustiktok2021.blogspot.co.il/","2024-05-06T06:07:28.031Z","https://hotvideoustiktok2021.blogspot.co.il/","OpenPhish URL",""
"2024-05-06T00:00:57.038Z","Url","TLP:CLEAR","https://hotvideoustiktok2021.blogspot.com.es/","2024-05-06T06:07:28.030Z","https://hotvideoustiktok2021.blogspot.com.es/","OpenPhish URL",""
"2024-05-06T00:00:57.229Z","Url","TLP:CLEAR","http://t7ya-milanoshopiyf.blogspot.sn/","2024-05-06T06:07:28.030Z","http://t7ya-milanoshopiyf.blogspot.sn/","OpenPhish URL",""
"2024-05-06T00:00:57.361Z","Url","TLP:CLEAR","https://t7ya-milanoshopiyf.blogspot.com/","2024-05-06T06:07:28.050Z","https://t7ya-milanoshopiyf.blogspot.com/","OpenPhish URL",""
"2024-05-06T00:00:57.414Z","Url","TLP:CLEAR","http://souaxwaoh.myfreesites.net/","2024-05-06T06:07:28.035Z","http://souaxwaoh.myfreesites.net/","OpenPhish URL",""
"2024-05-06T00:00:57.583Z","Url","TLP:CLEAR","http://smsverificationmms.myfreesites.net/","2024-05-06T06:07:28.049Z","http://smsverificationmms.myfreesites.net/","OpenPhish URL",""
"2024-05-06T00:00:57.686Z","Url","TLP:CLEAR","http://coinbasejslogines.azurewebsites.net/","2024-05-06T06:07:28.045Z","http://coinbasejslogines.azurewebsites.net/","OpenPhish URL",""
"2024-05-06T00:00:57.698Z","Url","TLP:CLEAR","http://3ert41w.fdse.club/","2024-05-06T06:07:28.035Z","http://3ert41w.fdse.club/","OpenPhish URL",""
"2024-05-06T00:00:57.810Z","Url","TLP:CLEAR","http://steamcsgo.vipcentr.ru/","2024-05-06T06:07:28.051Z","http://steamcsgo.vipcentr.ru/","OpenPhish URL",""
"2024-05-06T00:00:57.977Z","Url","TLP:CLEAR","http://new-estne-flix.blogspot.my/","2024-05-06T06:07:28.034Z","http://new-estne-flix.blogspot.my/","OpenPhish URL",""
"2024-05-06T00:00:58.002Z","Url","TLP:CLEAR","https://kyl.bsd.mybluehost.me/n/login","2024-05-06T06:07:28.032Z","https://kyl.bsd.mybluehost.me/n/login","OpenPhish URL",""
"2024-05-06T00:00:58.007Z","Url","TLP:CLEAR","https://new-estne-flix.blogspot.com/","2024-05-06T06:07:28.038Z","https://new-estne-flix.blogspot.com/","OpenPhish URL",""
"2024-05-06T00:00:58.167Z","Url","TLP:CLEAR","http://www.vjdisplay.com.cn/product/2007989067-209573593/Refrigerator_Candy_Bar_Holder_Suction_Cups_Clear_cooler_door_shelf.html","2024-05-06T06:07:28.051Z","http://www.vjdisplay.com.cn/product/2007989067-209573593/Refrigerator_Candy_Bar_Holder_Suction_Cups_Clear_cooler_door_shelf.html","OpenPhish URL",""
"2024-05-06T00:00:58.174Z","Url","TLP:CLEAR","https://www.srv69476.seohost.com.pl/public/2ZuUiQsngJyw0AwWdJNjiNOTD3MJABch","2024-05-06T06:07:28.039Z","https://www.srv69476.seohost.com.pl/public/2ZuUiQsngJyw0AwWdJNjiNOTD3MJABch","OpenPhish URL",""
"2024-05-06T00:00:58.231Z","Url","TLP:CLEAR","http://www.tinyfashion.cn/product/60449402498-802506959/2016_Fashion_Wholesale_Ivory_Black_Awl_Prismatic_Rhombus_Stainless_Steel_Necklace_Jewelry_for_Men.html","2024-05-06T06:07:28.034Z","http://www.tinyfashion.cn/product/60449402498-802506959/2016_Fashion_Wholesale_Ivory_Black_Awl_Prismatic_Rhombus_Stainless_Steel_Necklace_Jewelry_for_Men.html","OpenPhish URL",""
"2024-05-06T00:00:58.411Z","Url","TLP:CLEAR","https://bancolombia-dinamica-web1.brizy.site/","2024-05-06T06:07:28.044Z","https://bancolombia-dinamica-web1.brizy.site/","OpenPhish URL",""
"2024-05-06T00:00:58.412Z","Url","TLP:CLEAR","https://261388.sireneharb.com/","2024-05-06T06:07:28.050Z","https://261388.sireneharb.com/","OpenPhish URL",""
"2024-05-06T00:00:58.428Z","Url","TLP:CLEAR","https://www.locarbcris.com/","2024-05-06T06:07:28.045Z","https://www.locarbcris.com/","OpenPhish URL",""
"2024-05-06T00:00:58.703Z","Url","TLP:CLEAR","https://pireszzzzz.github.io/sitenetflix","2024-05-06T06:07:28.051Z","https://pireszzzzz.github.io/sitenetflix","OpenPhish URL",""
"2024-05-06T00:00:58.705Z","Url","TLP:CLEAR","https://wwfeng.com/","2024-05-06T06:07:28.050Z","https://wwfeng.com/","OpenPhish URL",""
"2024-05-06T00:00:58.770Z","Url","TLP:CLEAR","http://extxtranet-63261.com/","2024-05-06T06:07:28.052Z","http://extxtranet-63261.com/","OpenPhish URL",""
"2024-05-06T00:00:59.037Z","Url","TLP:CLEAR","http://aigptiot.com/a..*@r..*.com","2024-05-06T06:07:28.031Z","http://aigptiot.com/a..*@r..*.com","OpenPhish URL",""
