"created_at","entity_type","objectLabel","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-10-17T10:44:00.224Z","Url","c2,opendir,ransomhub","TLP:CLEAR","http://87.120.125.34/lsa1.txt","2024-10-17T10:44:00.833Z","http://87.120.125.34/lsa1.txt","Threat: malware_download - Reporter: Riordz - Status: offline","80"
"2024-10-17T10:44:02.674Z","Url","c2,opendir,ransomhub","TLP:CLEAR","http://87.120.125.34/range.txt","2024-10-17T10:44:04.041Z","http://87.120.125.34/range.txt","Threat: malware_download - Reporter: Riordz - Status: offline","80"
"2024-10-17T10:44:03.743Z","Url","opendir,powershell","TLP:CLEAR","http://172.105.120.37/b.ps1","2024-10-17T10:44:04.293Z","http://172.105.120.37/b.ps1","Threat: malware_download - Reporter: Riordz - Status: offline","80"
"2024-10-17T10:44:08.647Z","Url","remcos,2476,pw-2476","TLP:CLEAR","https://drive.usercontent.google.com/download?id=1_JczJUH4R_k9VddwnjIsB9iB70V8mrWf&export=download","2024-10-17T10:44:08.886Z","https://drive.usercontent.google.com/download?id=1_JczJUH4R_k9VddwnjIsB9iB70V8mrWf&export=download","Threat: malware_download - Reporter: agesipolis1 - Status: offline","80"
"2024-10-17T10:44:08.703Z","Url","c2,opendir,ransomhub","TLP:CLEAR","http://87.120.125.34/1.txt","2024-10-17T10:44:09.288Z","http://87.120.125.34/1.txt","Threat: malware_download - Reporter: Riordz - Status: offline","80"
"2024-10-17T10:44:10.838Z","Url","c2,opendir,ransomhub","TLP:CLEAR","http://87.120.125.34/dpapi1.txt","2024-10-17T10:44:11.224Z","http://87.120.125.34/dpapi1.txt","Threat: malware_download - Reporter: Riordz - Status: offline","80"
"2024-10-17T10:44:12.689Z","Url","c2,opendir,ransomhub","TLP:CLEAR","http://87.120.125.34/lsassy1.txt","2024-10-17T10:44:13.258Z","http://87.120.125.34/lsassy1.txt","Threat: malware_download - Reporter: Riordz - Status: offline","80"
"2024-10-17T10:44:14.778Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://78.188.101.26:46316/bin.sh","2024-10-17T10:44:15.027Z","http://78.188.101.26:46316/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:15.257Z","Url","remcos,5503,pw-5503","TLP:CLEAR","https://docs.google.com/uc?export=download&id=1aKYwfT83-t4eaMlfDJAudvPWeHm32h6r","2024-10-17T10:44:15.484Z","https://docs.google.com/uc?export=download&id=1aKYwfT83-t4eaMlfDJAudvPWeHm32h6r","Threat: malware_download - Reporter: agesipolis1 - Status: offline","80"
"2024-10-17T10:44:17.511Z","Url","opendir","TLP:CLEAR","http://144.34.162.13/xmrig.exe","2024-10-17T10:44:17.538Z","http://144.34.162.13/xmrig.exe","Threat: malware_download - Reporter: Riordz - Status: online","80"
"2024-10-17T10:44:18.672Z","Url","exe,connectwise","TLP:CLEAR","https://ssa-home-statement.es/.en/E-receipt-6.exe","2024-10-17T10:44:18.949Z","https://ssa-home-statement.es/.en/E-receipt-6.exe","Threat: malware_download - Reporter: abuse_ch - Status: offline","80"
"2024-10-17T10:44:19.792Z","Url","screenconnect","TLP:CLEAR","https://recptlinko.s3.eu-north-1.amazonaws.com/Rstate.html","2024-10-17T10:44:19.983Z","https://recptlinko.s3.eu-north-1.amazonaws.com/Rstate.html","Threat: malware_download - Reporter: GovCERT_CH - Status: offline","80"
"2024-10-17T10:44:21.275Z","Url","opendir,netcat","TLP:CLEAR","http://144.34.162.13/port.sh","2024-10-17T10:44:21.514Z","http://144.34.162.13/port.sh","Threat: malware_download - Reporter: Riordz - Status: offline","80"
"2024-10-17T10:44:23.048Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://39.80.139.248:48584/bin.sh","2024-10-17T10:44:23.083Z","http://39.80.139.248:48584/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:24.077Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://119.36.133.179:59069/i","2024-10-17T10:44:24.343Z","http://119.36.133.179:59069/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:25.773Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://113.221.99.46:34462/i","2024-10-17T10:44:25.946Z","http://113.221.99.46:34462/i","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:26.488Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://223.8.197.228:47512/i","2024-10-17T10:44:26.673Z","http://223.8.197.228:47512/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:28.424Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://125.44.57.190:38175/i","2024-10-17T10:44:28.606Z","http://125.44.57.190:38175/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:30.046Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://115.57.161.161:49170/i","2024-10-17T10:44:30.119Z","http://115.57.161.161:49170/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:32.124Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://138.204.196.254:57145/i","2024-10-17T10:44:32.307Z","http://138.204.196.254:57145/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:33.006Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://219.157.65.191:32845/bin.sh","2024-10-17T10:44:33.061Z","http://219.157.65.191:32845/bin.sh","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:35.332Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://117.195.83.31:47133/i","2024-10-17T10:44:35.745Z","http://117.195.83.31:47133/i","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:35.704Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://1.70.103.230:46306/bin.sh","2024-10-17T10:44:35.830Z","http://1.70.103.230:46306/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:38.402Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://117.235.107.149:43691/i","2024-10-17T10:44:38.467Z","http://117.235.107.149:43691/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:39.099Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://59.89.239.109:46750/bin.sh","2024-10-17T10:44:39.158Z","http://59.89.239.109:46750/bin.sh","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:39.356Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://61.137.135.39:52075/bin.sh","2024-10-17T10:44:39.666Z","http://61.137.135.39:52075/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:41.230Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://123.10.210.119:57356/bin.sh","2024-10-17T10:44:41.346Z","http://123.10.210.119:57356/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:42.522Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://59.98.197.45:56570/bin.sh","2024-10-17T10:44:43.005Z","http://59.98.197.45:56570/bin.sh","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:44.246Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://39.79.8.61:51581/bin.sh","2024-10-17T10:44:44.719Z","http://39.79.8.61:51581/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:45.537Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://117.206.24.105:37345/bin.sh","2024-10-17T10:44:45.581Z","http://117.206.24.105:37345/bin.sh","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:46.705Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://115.48.148.191:33613/bin.sh","2024-10-17T10:44:47.196Z","http://115.48.148.191:33613/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:48.404Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://59.182.109.157:45964/bin.sh","2024-10-17T10:44:48.433Z","http://59.182.109.157:45964/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:49.316Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://119.36.133.179:59069/bin.sh","2024-10-17T10:44:49.483Z","http://119.36.133.179:59069/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:51.130Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://219.155.7.156:52704/bin.sh","2024-10-17T10:44:51.183Z","http://219.155.7.156:52704/bin.sh","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:52.419Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://117.193.159.104:39189/i","2024-10-17T10:44:52.861Z","http://117.193.159.104:39189/i","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:54.325Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://223.8.197.228:47512/bin.sh","2024-10-17T10:44:54.697Z","http://223.8.197.228:47512/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:55.919Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://117.235.252.39:36169/bin.sh","2024-10-17T10:44:56.100Z","http://117.235.252.39:36169/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:57.294Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://61.2.111.254:44241/bin.sh","2024-10-17T10:44:57.416Z","http://61.2.111.254:44241/bin.sh","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:44:58.137Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://113.221.99.46:34462/bin.sh","2024-10-17T10:44:58.193Z","http://113.221.99.46:34462/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:44:59.674Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://49.68.186.220:44688/bin.sh","2024-10-17T10:44:59.943Z","http://49.68.186.220:44688/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:45:00.962Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://138.204.196.254:57145/bin.sh","2024-10-17T10:45:01.043Z","http://138.204.196.254:57145/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:45:02.348Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://117.252.197.10:46363/i","2024-10-17T10:45:02.552Z","http://117.252.197.10:46363/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:45:03.993Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://117.195.83.31:47133/bin.sh","2024-10-17T10:45:04.202Z","http://117.195.83.31:47133/bin.sh","Threat: malware_download - Reporter: geenensp - Status: offline","80"
"2024-10-17T10:45:04.890Z","Url","elf,mozi,32-bit,mips","TLP:CLEAR","http://112.239.88.151:40762/i","2024-10-17T10:45:05.214Z","http://112.239.88.151:40762/i","Threat: malware_download - Reporter: geenensp - Status: online","80"
"2024-10-17T10:45:07.219Z","Url","arm,elf,mirai,mozi,32-bit","TLP:CLEAR","http://113.221.26.246:46625/bin.sh","2024-10-17T10:45:07.613Z","http://113.221.26.246:46625/bin.sh","Threat: malware_download - Reporter: geenensp - Status: online","80"
